Index,Link,Playlist ID,Essential/Optional (E/O),
Video 1,/v/language-and-notation-of-the-circle/,,E,
Video 2,/v/circles--radius--diameter-and-circumference/,,E,
Video 3,/v/length-of-an-arc-that-subtends-a-central-angle/,,O,
Video 4,/v/finding-central-angle-measure-given-arc-length/,,O,
Video 5,/v/parts-of-a-circle/,,E,
Video 6,/v/area-of-a-circle/,,E,
Video 7,/v/area-of-a-sector-given-a-central-angle,,O,
Exercise 1,/e/circles_and_arcs/,,O,
Exercise 2,/e/areas_of_circles_and_sectors/,,O,
,,,,
,Quiz 13,g5_p21_q13,,
,,,,
,Grade V - Unit Test 5," g5_p20, g5_p21",4,
